id,platform,game_id
58,windows,c5619b78-06b3-4b02-a26f-a07d1d87711d
60,playstation,c37a5bd4-0bdd-4b3d-98b4-7fe617dc1123
61,windows,c37a5bd4-0bdd-4b3d-98b4-7fe617dc1123
63,playstation,b8e39a1c-8317-40c5-8dce-187ef96305be
64,xbox,b8e39a1c-8317-40c5-8dce-187ef96305be
66,playstation,b291fd6c-4deb-4eec-82f1-614ce496cf30
67,xbox,b291fd6c-4deb-4eec-82f1-614ce496cf30
69,playstation,ace9041e-a0fe-47b8-b0cc-8ec09c19e727
70,xbox,ace9041e-a0fe-47b8-b0cc-8ec09c19e727
72,playstation,acd39674-564f-483b-9c0f-4def399d75af
73,xbox,acd39674-564f-483b-9c0f-4def399d75af
75,playstation,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
77,xbox,9437cc3e-e4be-4db9-b7ef-ba99f4573529
78,playstation,9437cc3e-e4be-4db9-b7ef-ba99f4573529
80,playstation,92ec0f8e-b0b0-4c7b-967c-d13599a5ff21
81,xbox,92ec0f8e-b0b0-4c7b-967c-d13599a5ff21
82,playstation,91645569-825d-4cbd-aae7-ec0be78132ec
83,playstation,85c1ef2d-7953-413a-bb8b-b5c31880a723
84,playstation,832dac54-b135-498f-ba88-a3926c266e2b
85,windows,832dac54-b135-498f-ba88-a3926c266e2b
86,xbox,817e1183-c8b4-430f-a338-a05573d1e45c
87,windows,817e1183-c8b4-430f-a338-a05573d1e45c
89,playstation,7d175438-da6b-4f60-8297-b2539ba58b8c
90,xbox,7d175438-da6b-4f60-8297-b2539ba58b8c
92,playstation,79c09813-e258-4fe7-bf33-73516deec59a
93,xbox,79c09813-e258-4fe7-bf33-73516deec59a
95,xbox,770014fc-5129-412a-82a9-2a90e89c0600
97,playstation,69c6a93b-33aa-410a-9f0d-c804ce1a3556
98,xbox,69c6a93b-33aa-410a-9f0d-c804ce1a3556
100,playstation,647834ee-08e5-4a9a-bf97-bdfbe4fc08e4
101,xbox,647834ee-08e5-4a9a-bf97-bdfbe4fc08e4
102,xbox,5c48b26f-ceda-429d-b3d1-d98d00e5da87
103,windows,5c48b26f-ceda-429d-b3d1-d98d00e5da87
104,playstation,52dcbd17-36f7-4caf-bedf-fc9aacca362c
105,xbox,5100d66f-7bb0-477b-ac42-44eeac2f1d9b
106,playstation,5100d66f-7bb0-477b-ac42-44eeac2f1d9b
107,windows,5100d66f-7bb0-477b-ac42-44eeac2f1d9b
109,playstation,50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
110,xbox,50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
112,playstation,4a650783-6a10-42d3-914f-f0270ba9627b
113,xbox,4a650783-6a10-42d3-914f-f0270ba9627b
115,playstation,355a8331-2486-4416-85cc-c14b7f1c3d9c
116,xbox,355a8331-2486-4416-85cc-c14b7f1c3d9c
117,xbox,3219e880-2b4e-4841-9a5a-be63dace21b7
118,windows,3219e880-2b4e-4841-9a5a-be63dace21b7
119,playstation,30cd194a-c54f-4192-8b12-34dc5de87e75
120,windows,30cd194a-c54f-4192-8b12-34dc5de87e75
122,playstation,2c8780fc-f953-4e60-a34e-14dd25dd021f
123,xbox,2c8780fc-f953-4e60-a34e-14dd25dd021f
